,Value
Total Trading Days,310.0
Mean Daily Return (%),0.2360884153822497
Median Daily Return (%),0.15523961553364218
Std Deviation (%),2.1298082439485166
Min Daily Return (%),-11.143529411764707
Max Daily Return (%),8.090625621973068
Win Rate (%),55.16129032258065
Average Win (%),1.540759802003195
Average Loss (%),-1.3689389739140212
10th Percentile (%),-1.9734092251647493
25th Percentile (%),-0.8080476181346968
50th Percentile (%),0.15523961553364218
75th Percentile (%),1.18670274099259
90th Percentile (%),2.436290237141007
Skewness,-0.16144430410382787
Kurtosis,4.534756799714611
