Total Trading Days,Mean Daily Return (%),Median Daily Return (%),Std Deviation (%),Min Daily Return (%),Max Daily Return (%),Win Rate (%),Average Win (%),Average Loss (%),10th Percentile (%),25th Percentile (%),50th Percentile (%),75th Percentile (%),90th Percentile (%),Skewness,Kurtosis,Month
553,0.07124283889299186,-0.030325347658466395,2.411603724079322,-8.40056617126681,16.90477729652855,48.282097649186255,1.7627669157698749,-1.513198163518358,-2.2726055243583283,-1.062463514302392,-0.030325347658466395,1.0565691035569147,2.892044489077602,0.5912628184629471,5.992693623048575,January
516,0.011856620282622238,0.003817959682350658,1.985636888978733,-7.999499467467475,9.886135180454225,50.0,1.3818101118612762,-1.363381294919752,-2.1187836128595317,-0.9051525153436185,0.003817959682350658,0.9846968773589149,2.1037058659844177,0.08194345345220298,4.149579518744923,February
534,-0.07426357012320783,-0.11732543922396976,2.6963516437207975,-13.072131205236936,12.692234668691826,46.62921348314607,1.8820323740842275,-1.7897281957491746,-2.544188629554188,-1.1984879952211065,-0.11732543922396976,1.17911856310019,2.5630257050270906,0.04404337754943065,4.114590920544455,March
497,-0.20015716580305887,-0.08621581542918033,3.371579212490966,-26.77817727059559,15.999344154779482,47.68611670020121,1.8661236067706222,-2.0836515623413763,-2.798343189815493,-1.273083897709193,-0.08621581542918033,0.9632128863735323,2.721617945255123,-1.5143262214897093,14.372774150264565,April
555,0.03355061621242727,0.00823757156389604,2.305700620139716,-11.645054665649624,11.563322959061528,50.09009009009009,1.543317310462481,-1.4924422556751729,-1.944100676760889,-0.9364342731736641,0.00823757156389604,1.011141988327846,2.2707318300268624,-0.20194446362607696,6.29985383256748,May
554,0.19116955024546622,0.12333651809904866,1.9034986126554476,-10.553992585386373,9.855043285685516,52.166064981949454,1.5039886999396344,-1.245245467600629,-1.9714574035296584,-0.7778017991063563,0.12333651809904866,1.117184858018383,2.3137673540553396,0.2815296486226468,3.9042383465779658,June
570,0.16197021983916332,0.13929484215227106,2.215725076622257,-11.97808248613369,11.053997404930648,53.333333333333336,1.53020485987626,-1.4070160456379623,-1.974707078931981,-0.8493385149015237,0.13929484215227106,1.1207627546744758,2.295931996598373,0.1693620139167634,6.427378386951087,July
545,0.13010811686165288,0.09276007606326964,1.9436775705570035,-9.601919404592852,15.596153895384624,52.84403669724771,1.4100657231598381,-1.309335955392315,-1.947389065286036,-0.8839706652697732,0.09276007606326964,1.0990086892669115,2.202129890189224,0.7441571568742799,8.735260474780208,August
537,-0.0050011861439172405,0.03836071862413082,2.0660394017483745,-9.999796503937663,10.563694017138815,50.65176908752328,1.3758073145370437,-1.4222838736353187,-2.034395867772254,-0.9967791151042626,0.03836071862413082,0.9903231282892833,2.081328352459818,-0.3597671389502516,5.346670258502426,September
531,0.11758630326997553,-0.013330667199895618,2.2388249493624266,-16.2097036795832,9.999602005890317,49.717514124293785,1.6857957743804215,-1.433002836704398,-2.204328935305122,-1.1353184187552268,-0.013330667199895618,1.1019563591122883,2.573719000515684,-0.21212670846382561,6.785272824279464,October
514,0.1809866396126724,0.12352042881800251,1.8921024387287444,-6.179481431667044,9.998985218008993,53.69649805447471,1.433638793065031,-1.2770344899790507,-1.8277392780607282,-0.9075794026688899,0.12352042881800251,1.1047886394538131,2.28407174157315,0.7634757593934374,4.215255356207266,November
527,0.13185581909427033,0.11900765921089018,1.6698648526173228,-7.657994933966328,6.627020343274359,54.26944971537002,1.227251191996304,-1.1680739595363587,-1.6763055905607804,-0.6716303712938188,0.11900765921089018,0.9812984974535865,1.9541767432956147,-0.1331635184679969,2.6711448732773184,December
