Year,Start_Price,End_Price,Return (%),Trading_Days,Win_Rate (%),Best_Day (%),Worst_Day (%)
2000,122.4804688,89.14921875,-27.21352259389784,250,47.599999999999994,15.596153895384624,-11.143529411764709
2001,87.72734375,63.65,-27.445654593867726,248,49.596774193548384,15.999344154779482,-15.999481294171048
2002,62.88203125,74.54921875,18.55408813626706,251,51.39442231075697,6.333802217088902,-8.170984455958552
2003,74.8828125,86.9328125,16.09181011997913,254,50.39370078740157,11.020671437786046,-26.77817727059559
2004,88.00078125,130.5625,48.365160110439355,254,53.937007874015755,8.463240316874487,-10.916407572120113
2005,132.334375,187.296875,41.533048385954146,251,51.79282868525896,4.4966563324707165,-6.93050468534463
2006,186.178125,280.0625,50.42717827349481,250,51.6,9.855043285685516,-5.96543041593306
2007,284.05625,221.05,-22.180906070540594,249,42.971887550200805,6.627020343274359,-6.992068908710092
2008,218.7125,139.73125,-36.11190489798252,246,45.1219512195122,9.637492195247363,-7.183589857158679
2009,143.4375,325.65625,127.03703703703704,243,53.086419753086425,11.011102051056888,-11.645054665649624
2010,326.78125,430.625,31.777756526728506,252,57.936507936507944,4.315385783718106,-3.442201074284512
2011,431.6125,345.63125,-19.920936024790752,247,45.74898785425101,6.826877092300343,-9.5946763460375
2012,350.60625,289.8125,-17.33960817869048,251,50.99601593625498,3.5814321452243947,-12.608861657060777
2013,288.5375,435.6875,50.99857037646752,250,54.0,16.90477729652855,-21.33077437154069
2014,433.3,492.8,13.731825525040387,244,54.09836065573771,6.676633155490941,-8.537415892560407
2015,493.95,552.275,11.807875291021357,248,50.403225806451616,11.053997404930648,-5.950389861251804
2016,551.575,505.35,-8.380546616507278,247,46.963562753036435,5.695149524337695,-8.81064761661776
2017,500.8,519.65,3.763977635782741,248,48.79032258064516,4.540335790335792,-9.601919404592852
2018,517.275,659.85,27.562708423952454,246,54.47154471544715,4.607535321821032,-4.469730774951652
2019,664.65,731.75,10.095539005491617,245,52.244897959183675,7.199834960803186,-16.2097036795832
2020,736.9,1255.85,70.42339530465462,252,53.96825396825397,12.692234668691826,-9.958116078297286
2021,1260.4,1889.65,49.92462710250714,248,55.24193548387096,4.901661838694915,-3.672866205305658
2022,1897.15,1508.7,-20.47545001713096,248,50.806451612903224,4.565834959099169,-7.274182941126018
2023,1524.3,1542.85,1.2169520435609757,246,47.5609756097561,5.195670274771014,-9.39795477459312
2024,1551.25,1880.7,21.237711522965352,249,51.00401606425703,7.839464882943137,-4.602691038334605
2025,1882.65,1502.5,-20.192282155472345,217,48.38709677419355,7.910710139639798,-5.767833039144432
