Metric,Value
Total Trading Days,497.0
Mean Daily Return (%),0.2340343365203186
Median Daily Return (%),0.10491344640672917
Std Deviation (%),2.260244190891313
Min Daily Return (%),-8.16893581550432
Max Daily Return (%),12.617246596066579
Win Rate (%),53.72233400402414
Average Win (%),1.6528513842781676
Average Loss (%),-1.4191976172562109
10th Percentile (%),-2.089441832791048
25th Percentile (%),-0.9397841977027532
75th Percentile (%),1.3608815426997323
90th Percentile (%),2.6850367694632875
Skewness,0.6880991414416164
Kurtosis,5.41576887675512
