Year,Trading_Days,Mean_Return,Median_Return,Std_Dev,Min_Return,Max_Return,Positive_Days,Negative_Days,Win_Rate,25th_Percentile,75th_Percentile
2000,51,0.4188085035031815,0.23155805491232861,2.7214039856351477,-6.036892118501969,8.001189767995264,27,23,52.94117647058824,-0.8353382970852419,1.5281104532923528
2001,50,0.32368072137108994,-0.2029939916494139,2.794981514402569,-5.455932850057232,9.971098265895929,23,27,46.0,-1.6543165039800938,1.6299466925170758
2002,48,-0.2938314165920164,-0.3304950603133072,1.249499954779794,-2.3956442831216007,3.5412096521466596,20,28,41.66666666666667,-1.3051068816784501,0.5469868720915816
2003,52,0.18516185865090332,0.13994826505069335,1.5871406222072815,-2.781641168289295,3.4069097888675737,29,23,55.769230769230774,-1.108851396535568,1.3428703667186903
2004,50,-0.020422321519353758,0.08452577558170082,1.9708274609447325,-4.764096662830841,4.306987399770912,27,23,54.0,-1.6612065815383936,1.314475116522812
2005,49,0.40140322124623107,0.5359193568967635,1.4082587982776362,-3.8023831838264854,3.130434782608682,31,17,63.26530612244898,-0.5215343203230027,1.5461071231363865
2006,49,0.23899371623000365,0.22175086772078245,2.1272658869656804,-8.048806593171365,4.776579352850541,27,22,55.10204081632652,-0.7571345369830951,1.258776646214188
2007,50,0.3039390641653332,0.28429151431547117,2.2785727784401555,-4.984849131492474,7.1120431396045625,29,21,57.99999999999999,-0.7562330352823388,1.2252354589149972
2008,52,0.09553630059695294,-0.06030326105743167,3.7309410598584356,-12.76430434541318,9.568791462359382,25,27,48.07692307692308,-1.9739376616478372,1.987641174234167
2009,51,0.6466262141519138,0.5917439878810882,3.2463066535666805,-12.515496782572754,8.995815899581583,32,19,62.745098039215684,-0.7739948694642174,2.329604094571791
2010,49,0.0033200989212730943,-0.06521655733303655,1.460445157102249,-4.155725539445143,3.900156006240252,22,27,44.89795918367347,-0.8494324588438684,0.6987214118494567
2011,49,0.21903255167754151,-0.10628606134224228,1.5164791557696777,-2.681700441871082,4.719597079961524,24,25,48.97959183673469,-0.9248310810810789,1.3170652876535183
2012,47,0.14046104337119883,0.043816409245245325,1.3193335917661868,-1.9396775871034944,4.936184138758581,24,23,51.06382978723404,-0.7908277591413382,0.8955895909902867
2013,46,0.2066244665296148,0.2509962273891997,1.7471184845459455,-4.712350284704492,3.642129540649619,26,20,56.52173913043478,-0.6071983564756273,1.4742978043161437
2014,52,-0.0012838672436384412,-0.00245550723507737,1.0441214414332425,-2.1192249268274677,1.8460075223725836,26,26,50.0,-0.7894642839789717,0.7324548076819204
2015,51,0.47649093020173405,0.38985481269044886,1.55216179377317,-2.810745961695005,4.264529058116229,31,20,60.78431372549019,-0.44356785818212563,1.3872992989837574
2016,50,-0.05354626428724396,-0.027460715902455357,1.3839496607087396,-3.761027704689679,3.087206831266176,24,26,48.0,-0.6799540079128724,0.7037625201478215
2017,52,0.5409649390280348,0.10502441904023385,2.0998256870715992,-2.604122725610958,10.972170686456394,26,26,50.0,-0.5096886080784485,1.1746218948890996
2018,50,0.11578259116335722,0.27466942152994944,1.2781526899000817,-2.3378551107079537,2.847151142954618,32,18,64.0,-0.5686736396537467,1.0136329193256521
2019,47,-0.00854413917742554,0.025848476232326334,1.2445584266135807,-3.3546565756674807,3.095436740811963,24,23,51.06382978723404,-0.9680994612583427,0.7499672735382323
2020,53,0.5731117025847553,0.2571292980715345,3.0441350501304525,-4.202446629887257,14.647513433666571,30,23,56.60377358490566,-0.7281489130722574,1.6501484632052144
2021,49,0.014914511113332033,0.1993293398253826,1.469390387782753,-2.636826042726348,4.518089450194673,26,23,53.06122448979592,-1.0415266070228135,1.0245225889618403
2022,48,0.12715922108354347,-0.037402083804527475,1.5526722875498111,-3.1432517190781772,5.2353914248669975,23,25,47.91666666666667,-0.5777177810851852,0.7631219880004925
2023,52,0.04646014774470248,0.20942858604720005,1.0619434641819758,-2.2797288971041274,2.216707327332368,29,23,55.769230769230774,-0.6285266540514783,0.6687650340597207
2024,46,0.16319492212992107,0.009925476324312843,1.3675979712881396,-2.8981086028065928,4.0880178786316,23,23,50.0,-0.6663142972602787,1.039890775414104
2025,42,0.16995126198637567,0.20792518741545862,0.7857417015353653,-1.5308601976348535,1.9179627689580148,27,15,64.28571428571429,-0.3829726447350995,0.702482266922011
