Month,Count,Avg_Return_%,Median_Return_%,Std_Dev_%,Win_Rate_%,Avg_Win_%,Avg_Loss_%,Avg_Volume,Max_Gain_%,Max_Loss_%
January,554,0.07514142781540845,-0.01771950031010032,2.18972281393084,49.458483754512635,1.6445917332470856,-1.471456565927268,1715.6714801444043,8.995815899581585,-12.515496782572754
February,516,0.014256109138282898,-0.006719225945171371,1.8149414440836111,49.8062015503876,1.341190726343465,-1.3074800943989011,1435.381065891473,10.972170686456398,-8.010563380281681
March,534,0.09493793000250321,0.1261590886592805,2.582108570764841,52.05992509363296,1.79207781156873,-1.7480499101358213,4080.5565917603,14.647513433666578,-13.364602505491902
April,497,0.23403433652031905,0.10491344640671844,2.260244190891313,53.72233400402414,1.6528513842781678,-1.4191976172562106,1376.317907444668,12.617246596066572,-8.168935815504321
May,555,0.05117204408865527,-0.004162157662528471,2.214890431148243,49.72972972972973,1.5190729446672937,-1.4059843462552852,1129.8047027027026,21.091029679986733,-15.35416666666666
June,554,0.11361841839179049,0.07847158604774149,1.9598124705295557,52.166064981949454,1.491561461670316,-1.3943812827032933,1228.423646209386,11.743981209630064,-7.535266743014514
July,570,0.07174816494192404,0.052716873845004855,1.8871611743188008,51.578947368421055,1.4317441137694717,-1.3869938519391531,1173.0694736842104,7.214918985019869,-8.249999999999996
August,545,0.05055200294376184,0.0316768956642186,1.6947167853301486,51.19266055045871,1.2686243064047824,-1.2363459844037277,1013.0854495412843,9.725118154017242,-8.638568694645956
September,537,0.12941372125998502,0.142198308993084,2.0066269383013444,54.18994413407822,1.418491148937114,-1.3954705529434477,1215.8890130353816,9.987669543773134,-10.003425830763964
October,531,0.05379960240879484,0.0815660685154958,2.3695375809554973,51.60075329566855,1.5947591588259158,-1.6078599237764992,1269.5231826741995,13.915994908782356,-16.435169801289295
November,513,0.029469864500585974,0.06262721152339445,1.9503232290757984,51.85185185185185,1.3214091707992592,-1.3618493884364467,1193.1300779727096,9.63597430406852,-12.764304345413175
December,527,0.10668480692887922,0.12111456057645584,1.6130563396001312,53.70018975332068,1.2065518775551785,-1.1689806889204761,1258.6842504743834,9.568791462359375,-4.788412042856288
